cod_produto,num_edicao,cod_cota_hvct,QTDE_REPARTE_HVCT,qtde_encalhe_hvct
27167001,17,2,2,0
27261001,26,2,1,0
27373001,475,2,5,0
27402001,19,2,7,0
27411001,20,2,3,0
27622001,1303,2,2,0
27622001,1304,2,2,0
27673001,401,2,2,0
27975042,3,2,3,0
27982001,19,2,3,0
28117001,6,2,2,0
28118001,6,2,1,0
28132001,35,2,9,0
28250001,36,2,20,0
28411001,16,2,1,0
28412042,3,2,6,0
28553001,35,2,4,0
28648001,6,2,2,0
28693001,2,2,2,0
28731001,2,2,2,0
28811001,35,2,4,0
28898001,17,2,12,0
28900001,17,2,3,0
29099001,31,2,6,0
29099001,32,2,4,0
29104001,6,2,2,0
29205002,19,2,2,0
29234001,6,2,1,0
29261001,31,2,5,0
29330001,802,2,2,0
29330001,902,2,2,0
29393042,1,2,1,0
29400001,8,2,7,0
29434001,302,2,1,0
29495001,10,2,1,0
29496001,10,2,1,0
29577001,15,2,2,0
29580001,10,2,6,0
29608001,2,2,7,0
29651001,15,2,15,0
